name,family,params_b,active_b,context_k,quality,license,tags,moe,quality_estimated,coding,agentic,omniscience
GLM-5.3 (max),Z AI,753.0,40.0,1000,44.86,GLM-5.3 License,reasoning,True,False,74.76,53.38,14.3
Kimi K3 (max),Kimi,2800.0,104.0,1049,43.78,Kimi K3 License,"vision,reasoning",True,False,76.24,50.65,19.7
GLM-5.3-Flash,Z AI,320.0,18.0,1000,41.91,Mit,"vision,reasoning",True,False,71.53,51.23,7.47
Qwen3.8 2.4T A95B,Alibaba,2400.0,95.0,984,40.04,Qwen3.8-Max License,reasoning,True,False,71.89,50.44,4.32
Qwen3.8-Flash-Next,Alibaba,180.0,6.0,256,39.91,Qwen Community License 1.0,"vision,reasoning",True,False,73.05,,-9.72
"DeepSeek V4.1 Flash (Reasoning, Max Effort)",DeepSeek,552.0,16.0,1000,39.55,Mit,"vision,reasoning",True,False,,,-5.3
GLM-5.2 (max),Z AI,753.0,40.0,1000,38.64,Mit,reasoning,True,True,68.76,39.42,4.43
"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",DeepSeek,1600.0,49.0,1000,36.28,Mit,reasoning,True,False,68.83,42.27,0.83
"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",DeepSeek,284.0,13.0,1000,34.53,Mit,reasoning,True,False,69.06,41.68,-14.28
Kimi K3 (low),Kimi,2780.0,104.0,1049,34.46,Kimi K3,"vision,reasoning",True,True,71.98,30.71,3.92
K2 Horizon 375B A23B,MBZUAI Institute of Foundation Models,375.0,23.0,524,33.92,Apache 2.0,reasoning,True,True,61.52,40.93,-2.97
Qwen3.8 27B (xhigh),Alibaba,27.0,27.0,256,33.9,Apache 2.0,"vision,reasoning",False,False,68.08,46.51,-9.98
Motif 3,Motif Technologies,314.0,13.2,262,33.57,Unknown,reasoning,True,True,63.48,,10.18
"DeepSeek V4 Pro (Reasoning, Max Effort)",DeepSeek,1600.0,49.0,1000,30.87,MIT,reasoning,True,False,59.36,27.69,-10.73
"DeepSeek V4 Pro (Reasoning, High Effort)",DeepSeek,1600.0,49.0,1000,30.11,MIT,reasoning,True,True,58.67,,-10.57
MiniMax-M3,MiniMax,428.0,23.0,1000,29.61,MINIMAX COMMUNITY LICENSE,"vision,reasoning",True,False,58.57,30.84,1.35
Nex-N2-Pro,Nex AGI,397.0,17.0,262,28.2,Apache 2.0,"vision,reasoning",True,True,59.12,,-27.05
Qwen3.8 27B (medium),Alibaba,27.0,27.0,256,27.81,Apache 2.0,"vision,reasoning",False,False,56.14,,-36.15
Agnes 2.5 Pro Alpha,Sapiens AI,397.0,17.0,1000,26.77,Apache 2.0,"vision,reasoning",True,True,58.78,29.41,-25.1
Qwen3.8 27B (low),Alibaba,27.0,27.0,256,26.49,Apache 2.0,"vision,reasoning",False,False,58.22,39.86,-26.67
MiMo-V2.5-Pro,Xiaomi,1023.0,42.0,1000,26.41,Mit,reasoning,True,False,60.19,22.67,3.25
Kimi K2.7 Code,Kimi,1000.0,32.0,256,26.27,Modified MIT License,"vision,reasoning,code",True,False,60.76,22.49,-10.22
Inkling Small,Thinking Machines,266.0,12.0,1000,26.09,Apache 2.0,"vision,audio,reasoning",True,False,52.95,24.95,-8.93
Hy3,Tencent,299.0,21.0,256,25.77,Apache 2.0,reasoning,True,False,58.8,25.64,-18.47
Inkling (xhigh),Thinking Machines,975.0,41.0,1000,25.54,Apache 2.0,"vision,audio,reasoning",True,False,52.06,24.32,2.0
Ling 3.0 Flash,InclusionAI,124.0,5.1,262,24.94,Unknown,reasoning,True,True,50.65,20.97,-17.88
Ling-3.0-flash-VL,InclusionAI,124.0,5.5,262,24.77,MIT,"vision,reasoning",True,False,,,-4.53
Solar Open2 250B,Upstage,250.0,15.0,1049,24.74,Upstage Solar License,reasoning,True,True,45.01,,-1.77
Nemotron 3 Ultra 550B A55B (Reasoning),NVIDIA,550.0,55.0,262,23.41,OpenMDW,reasoning,True,False,49.27,21.68,-0.4
A.X-K2,SK Telecom,692.0,33.0,262,22.7,Apache 2.0,reasoning,True,True,38.81,,-8.23
MiMo-V2-Flash (Feb 2026),Xiaomi,309.0,15.0,256,22.44,MIT,reasoning,True,True,,,-19.05
GLM-5.2 (Non-reasoning),Z AI,753.0,40.0,1000,22.43,Mit,,True,True,46.49,,-6.57
Qwen3.8 27B (Non-reasoning),Alibaba,27.0,27.0,256,22.42,Apache 2.0,vision,False,True,44.59,,-7.95
MiMo-V2.5,Xiaomi,310.0,15.0,1000,22.3,Mit,"vision,reasoning",True,False,56.8,17.36,-9.83
Qwen3.6 27B (Reasoning),Alibaba,27.8,27.8,262,21.91,Apache 2.0,"vision,reasoning",False,False,53.72,20.07,-20.02
G9v3-39A5B,AI9Stars,39.0,5.0,131,21.83,Apache 2.0,reasoning,True,True,33.07,,3.77
Qwen3.5 397B A17B (Non-reasoning),Alibaba,397.0,17.0,262,21.44,Apache 2.0,vision,True,True,,,-37.9
DeepSeek V4 Pro (Non-reasoning),DeepSeek,1600.0,49.0,1000,20.83,Mit,,True,True,,,-29.87
Qwen3.6 27B (Non-reasoning),Alibaba,27.8,27.8,262,19.83,Apache 2.0,vision,False,True,46.63,,-53.2
LongCat 2.0,LongCat,1600.0,48.0,1000,19.69,Mit,reasoning,True,False,45.26,15.92,-23.42
K-EXAONE 2.0,LG AI Research,750.0,37.0,262,19.69,apache-2.0,reasoning,True,True,40.62,,-6.6
Step 3.7 Flash,StepFun,198.0,11.0,262,19.48,Apache 2.0,"vision,reasoning",True,True,39.57,,-37.28
Qwen3.5 397B A17B (Reasoning),Alibaba,397.0,17.0,262,19.11,Apache 2.0,"vision,reasoning",True,False,48.21,10.56,-30.75
DeepSeek V4 Flash (Non-reasoning),DeepSeek,284.0,13.0,1000,18.88,Mit,,True,True,,,-43.97
Qwen3.6 35B A3B (Reasoning),Alibaba,36.0,3.0,262,18.81,Apache 2.0,"vision,reasoning",True,False,41.88,15.02,-22.18
MiMo-V2.5-Pro (Non-reasoning),Xiaomi,1023.0,41.7,1000,18.29,Mit,,True,True,,,-37.8
Muse Glimmer (high),Meta,30.0,30.0,131,18.07,Apache 2.0,"vision,reasoning",False,False,49.0,10.46,-32.85
Qwen3.5 122B A10B (Non-reasoning),Alibaba,125.0,10.0,262,17.75,Apache 2.0,vision,True,True,43.34,,-54.97
Ring-2.6-1T,InclusionAI,1000.0,63.0,262,17.28,MIT,reasoning,True,False,42.83,12.9,-37.7
Gemma 4 26B A4B (Reasoning),Google,25.2,3.8,256,16.67,Apache 2.0,"vision,reasoning",True,True,39.32,,-50.83
