name,params_b,attempts,last_tried,reason
Apriel-v1.6-15B-Thinker,15.0,2,2026-09-04,no repo cleared the parameter guard
Command A,111.0,2,2026-09-04,no repo cleared the parameter guard
Command A+,218.0,2,2026-09-04,no repo cleared the parameter guard
Falcon-H1R-7B,7.0,2,2026-09-04,no repo cleared the parameter guard
Granite 4.1 3B,3.0,2,2026-09-04,no repo cleared the parameter guard
Granite 4.2 3B,3.0,2,2026-09-04,no repo cleared the parameter guard
Granite 4.2 8B,8.0,2,2026-09-04,no repo cleared the parameter guard
HyperCLOVA X SEED Think (32B),32.0,2,2026-09-04,no repo cleared the parameter guard
Jamba 1.7 Large,398.0,2,2026-09-04,no repo cleared the parameter guard
Jamba 1.7 Mini,52.0,2,2026-09-04,no repo cleared the parameter guard
K-EXAONE 2.0 0803,750.0,1,2026-08-28,no repo cleared the parameter guard
K2-V2 (high),70.0,2,2026-09-04,no repo cleared the parameter guard
K2-V2 (low),70.0,2,2026-09-04,no repo cleared the parameter guard
K2-V2 (medium),70.0,2,2026-09-04,no repo cleared the parameter guard
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),253.0,2,2026-09-04,no repo cleared the parameter guard
Llama 3.2 Instruct 11B (Vision),11.0,2,2026-09-04,no repo cleared the parameter guard
Llama 3.2 Instruct 90B (Vision),90.0,2,2026-09-04,no repo cleared the parameter guard
Llama Nemotron Super 49B v1.5 (Non-reasoning),49.0,2,2026-09-04,no repo cleared the parameter guard
Llama Nemotron Super 49B v1.5 (Reasoning),49.0,2,2026-09-04,no repo cleared the parameter guard
LongCat 2.0,1600.0,2,2026-09-04,no repo cleared the parameter guard
LongCat Flash Lite,68.5,2,2026-09-04,no repo cleared the parameter guard
MiMo-V2-Flash (Feb 2026),309.0,2,2026-09-04,no repo cleared the parameter guard
MiniCPM-V 4.6 1.3B,1.3,2,2026-09-04,no repo cleared the parameter guard
MiniCPM5-1B (Non-reasoning),1.0,2,2026-09-04,no repo cleared the parameter guard
MiniCPM5-1B (Reasoning),1.0,2,2026-09-04,no repo cleared the parameter guard
Ministral 3 3B,3.0,2,2026-09-04,no repo cleared the parameter guard
Mistral Large 3,675.0,2,2026-09-04,no repo cleared the parameter guard
NVIDIA Nemotron Nano 12B v2 VL (Non-reasoning),13.2,2,2026-09-04,no repo cleared the parameter guard
NVIDIA Nemotron Nano 12B v2 VL (Reasoning),13.2,2,2026-09-04,no repo cleared the parameter guard
Nemotron 3 Nano Omni 30B A3B Reasoning,30.0,2,2026-09-04,no repo cleared the parameter guard
Nemotron 3 Ultra 550B A55B (Reasoning),550.0,2,2026-09-04,no repo cleared the parameter guard
Qwen3 Omni 30B A3B (Reasoning),35.3,2,2026-09-04,no repo cleared the parameter guard
Qwen3 Omni 30B A3B Instruct,35.3,2,2026-09-04,no repo cleared the parameter guard
R1 1776,671.0,2,2026-09-04,no repo cleared the parameter guard
